interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
19,10.460000000000008,12.186046511627907,0.0,12,Flow609,3,Flow60,-0.8139534883720927,9,1500,1935.7300000000002,1.2904866666666668,2.1860465116279073,False,False,True,False,False,9,2,0.7820946665764417,-0.20585205420414915,2.5002915686274796,-0.06465778883405715,0.9555555555555557
20,10.470000000000013,12.186046511627909,0.0,12,Flow609,3,Flow60,1.7763568394002505e-15,9,1500,1946.2000000000003,1.2974666666666668,2.186046511627909,False,False,True,False,False,9,2,0.7820946665764424,-33.96421184743732,2.50029156862748,4.440892098500626e-16,0.9555555555555557
21,18.279999999999987,11.188641799399521,-0.012928484646414112,12,Flow609,3,Flow60,-0.9974047122283878,9,1500,1964.4800000000002,1.3096533333333336,1.1886417993995213,False,False,True,False,False,9,2,0.1728113102507433,-0.0025986613691560633,2.414899138674699,-0.08539242995278107,0.785138888888889
22,30.0,10.666666666666666,0.0,12,Flow609,3,Flow60,-0.5219751327328552,9,1500,1994.4800000000002,1.3296533333333336,0.6666666666666661,False,False,True,False,False,9,2,-0.4054651081081653,-0.6501353306770511,2.367123614131617,-0.04777552454308198,0.41507936507936494
23,79.60000000000001,11.769094138543517,0.0,12,Flow609,3,Flow60,1.102427471876851,9,1500,2074.0800000000004,1.3827200000000002,1.769094138543517,False,False,True,False,False,9,2,0.5704676294449079,0.097514541029213,2.4654769547201507,0.09835334058853373,0.5192857781721232
24,74.21999999999998,11.943729529558563,0.04252564029106742,12,Flow609,3,Flow60,0.17463539101504644,9,1500,2148.3,1.4322000000000001,1.9437295295585635,False,False,True,False,False,9,2,0.6646085654731353,-1.7450549584363562,2.4802064151009326,0.014729460380781934,0.8281135531135533
1,0.0,11.055374592833875,0.0,13,Flow609,4,Flow60,,6,1200,0.0,0.0,5.055374592833875,False,False,False,True,False,9,2,1.6204519531559667,,2.4029166982069743,,5.0
2,0.0,11.055374592833875,0.0,13,Flow609,4,Flow60,0.0,6,1200,0.0,0.0,5.055374592833875,False,False,False,True,False,9,2,1.6204519531559667,-6.907755278982137,2.4029166982069743,0.0,3.1777777777777776
3,10.2,11.055374592833875,-0.004776038045550944,13,Flow609,4,Flow60,0.0,6,1200,10.2,0.008499999999999999,5.055374592833875,False,False,False,True,False,9,2,1.6204519531559667,-6.907755278982137,2.4029166982069743,0.0,0.392081736909323
4,272.76,12.591815005916004,-0.24133143016747996,13,Flow609,4,Flow60,1.5364404130821292,6,1200,282.96,0.23579999999999998,6.591815005916004,False,False,False,True,False,9,2,1.8858287287904492,0.42946832089408465,2.5330470001690975,0.13013030196212316,0.2773718849025082
5,276.88,11.872423945044162,0.0,13,Flow609,4,Flow60,-0.7193910608718426,6,1200,559.8399999999999,0.46653333333333324,5.8724239450441615,False,False,False,True,False,9,2,1.7702674864315884,-0.3293501736084309,2.474218395444135,-0.05882860472496265,0.3475400970324998
6,271.89,11.577842248519444,-0.2142604677869758,13,Flow609,4,Flow60,-0.2945816965247179,6,1200,831.7299999999999,0.6931083333333332,5.577842248519444,False,False,False,True,False,9,2,1.718802007794167,-1.2221989068066363,2.4490931204577064,-0.02512527498642836,0.2715161204369836
7,134.37000000000003,10.641885766092473,0.0,13,Flow609,4,Flow60,-0.9359564824269704,6,1200,966.0999999999999,0.8050833333333333,4.641885766092473,False,False,False,True,False,9,2,1.5351206987800505,-0.0661862967189629,2.3647977018647772,-0.08429541859292922,0.2843587389041935
8,95.58999999999999,10.474504339983913,-0.011030465143640127,13,Flow609,4,Flow60,-0.16738142610856066,6,1200,1061.6899999999998,0.8847416666666665,4.474504339983913,False,False,False,True,False,9,2,1.4983955835774856,-1.7874800822287333,2.3489441463100276,-0.015853555554749654,0.3793685262740638
9,60.34,10.85947757451551,0.018837502329690087,13,Flow609,4,Flow60,0.38497323453159815,6,1200,1122.0299999999997,0.9350249999999998,4.859477574515511,False,False,False,True,False,9,2,1.5809309371787494,-0.9545814678081762,2.3850382078712906,0.03609406156126305,0.29427609427609447
10,59.08,10.901853901880775,-0.0048689099996190215,13,Flow609,4,Flow60,0.04237632736526464,6,1200,1181.1099999999997,0.984258333333333,4.901853901880775,False,False,False,True,False,9,2,1.5896134808838878,-3.161165389518084,2.388932857514024,0.0038946496427332278,0.3018844151587512
11,76.46,10.348617081216192,-0.05470287424561433,13,Flow609,4,Flow60,-0.5532368206645835,6,1200,1257.5699999999997,1.0479749999999997,4.348617081216192,False,False,False,True,False,9,2,1.4698578821916504,-0.5919691219983723,2.336852895442622,-0.05207996207140164,0.35433773350633757
12,164.85000000000002,8.947449768160741,0.0,13,Flow609,4,Flow60,-1.401167313055451,6,1200,1422.4199999999996,1.1853499999999997,2.947449768160741,False,False,False,True,False,9,2,1.0809403110995182,0.337305684246838,2.191368549578104,-0.14548434586451808,0.30332864510079727
13,168.29999999999995,8.881146147488561,-0.013411934253976007,13,Flow609,4,Flow60,-0.06630362067217987,6,1200,1590.7199999999996,1.3255999999999997,2.881146147488561,False,False,False,True,False,9,2,1.0581881828576147,-2.713510772841297,2.1839306193383035,-0.007437930239800661,0.4321380178564196
14,117.02000000000004,8.345726168124234,-0.06288052911580351,13,Flow609,4,Flow60,-0.5354199793643275,6,1200,1707.7399999999996,1.4231166666666664,2.3457261681242336,False,False,False,True,False,9,2,0.8525950205389424,-0.6247038318862571,2.1217495716771406,-0.062181047661162836,0.19074501127629473
15,63.490000000000045,7.6774386177183676,-0.003162362916513625,13,Flow609,4,Flow60,-0.6682875504058661,6,1200,1771.2299999999996,1.4760249999999997,1.6774386177183676,False,False,False,True,False,9,2,0.5172679976701406,-0.40303673338939144,2.0382859782137244,-0.08346359346341625,0.1256756756756756
16,128.68,7.284728048798421,0.007980927611112678,13,Flow609,4,Flow60,-0.3927105689199468,6,1200,1899.9099999999996,1.583258333333333,1.2847280487984207,False,False,False,True,False,9,2,0.25054706077297273,-0.9346824042896266,1.9857801086550315,-0.05250586955869285,0.16546920821114375
