id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,order_price,period,block,price_dev_from_contract,in_market_quantity,ce_price,format,time
6,sell,61.0,-135,11.0,300.0,1,12.097222222222221,17,5,1.0972222222222214,300.0,14,CDA,T11-T20
7,sell,386.0,1328,4.0,400.0,1,6.9,17,5,2.9000000000000004,400.0,14,CDA,T11-T20
8,sell,389.0,1555,3.0,400.0,1,5.980392156862745,17,5,2.980392156862745,400.0,14,CDA,T11-T20
1,buy,400.0,2552,14.0,400.0,1,9.0,18,5,5.0,200.0,14,CDA,T11-T20
2,buy,300.0,2382,16.0,300.0,1,17.0,18,5,-1.0,300.0,14,CDA,T11-T20
3,buy,118.0,1085,17.0,300.0,1,8.887640449438202,18,5,8.112359550561798,300.0,14,CDA,T11-T20
4,buy,0.0,0,17.0,300.0,1,6.5,18,5,10.5,300.0,14,CDA,T11-T20
5,sell,0.0,0,14.0,400.0,1,15.431372549019608,18,5,1.431372549019608,0.0,14,CDA,T11-T20
6,sell,50.0,50,11.0,300.0,1,11.542553191489361,18,5,0.5425531914893611,300.0,14,CDA,T11-T20
7,sell,368.0,1315,4.0,400.0,1,8.81132075471698,18,5,4.811320754716981,400.0,14,CDA,T11-T20
8,sell,400.0,1800,3.0,400.0,1,7.571428571428571,18,5,4.571428571428571,400.0,14,CDA,T11-T20
1,buy,400.0,1819,14.0,400.0,1,10.619047619047619,19,5,3.3809523809523814,200.0,14,CDA,T11-T20
2,buy,300.0,1900,16.0,300.0,1,17.0,19,5,-1.0,300.0,14,CDA,T11-T20
3,buy,130.0,1040,17.0,300.0,1,8.811881188118813,19,5,8.188118811881187,300.0,14,CDA,T11-T20
4,buy,225.0,2130,17.0,300.0,1,6.956521739130435,19,5,10.043478260869566,300.0,14,CDA,T11-T20
5,sell,0.0,0,14.0,400.0,1,14.0,19,5,0.0,0.0,14,CDA,T11-T20
6,sell,260.0,-240,11.0,300.0,1,11.392857142857142,19,5,0.39285714285714235,300.0,14,CDA,T11-T20
7,sell,395.0,1655,4.0,400.0,1,8.872727272727273,19,5,4.872727272727273,400.0,14,CDA,T11-T20
8,sell,400.0,2491,3.0,400.0,1,9.0,19,5,6.0,400.0,14,CDA,T11-T20
1,buy,386.0,2316,14.0,400.0,1,8.0,20,5,6.0,200.0,14,CDA,T11-T20
2,buy,300.0,2193,16.0,300.0,1,17.177083333333332,20,5,-1.1770833333333321,300.0,14,CDA,T11-T20
3,buy,142.0,1278,17.0,300.0,1,8.513513513513514,20,5,8.486486486486486,300.0,14,CDA,T11-T20
4,buy,0.0,0,17.0,300.0,1,7.294117647058823,20,5,9.705882352941178,300.0,14,CDA,T11-T20
5,sell,0.0,0,14.0,400.0,1,14.0,20,5,0.0,0.0,14,CDA,T11-T20
6,sell,28.0,-84,11.0,300.0,1,11.422535211267606,20,5,0.42253521126760596,300.0,14,CDA,T11-T20
7,sell,400.0,1607,4.0,400.0,1,8.454545454545455,20,5,4.454545454545455,400.0,14,CDA,T11-T20
8,sell,400.0,2200,3.0,400.0,1,9.0,20,5,6.0,400.0,14,CDA,T11-T20
1,buy,300.0,2701,17.0,300.0,2,6.46875,1,1,10.53125,300.0,14,CDA,T1-T10
2,buy,400.0,2303,14.0,400.0,2,7.795454545454546,1,1,6.204545454545454,200.0,14,CDA,T1-T10
3,buy,200.0,1400,17.0,300.0,2,18.0,1,1,-1.0,300.0,14,CDA,T1-T10
4,buy,298.0,1689,16.0,300.0,2,17.862068965517242,1,1,-1.862068965517242,300.0,14,CDA,T1-T10
5,sell,247.0,1673,3.0,400.0,2,9.46774193548387,1,1,6.46774193548387,400.0,14,CDA,T1-T10
6,sell,400.0,2093,4.0,400.0,2,3.054054054054054,1,1,-0.945945945945946,400.0,14,CDA,T1-T10
7,sell,251.0,-1407,14.0,400.0,2,8.378378378378379,1,1,-5.621621621621621,0.0,14,CDA,T1-T10
8,sell,300.0,-739,11.0,300.0,2,10.0,1,1,-1.0,300.0,14,CDA,T1-T10
1,buy,251.0,2147,17.0,300.0,2,8.08860759493671,2,1,8.91139240506329,300.0,14,CDA,T1-T10
2,buy,350.0,2351,14.0,400.0,2,5.337662337662338,2,1,8.662337662337663,200.0,14,CDA,T1-T10
3,buy,117.0,789,17.0,300.0,2,17.80952380952381,2,1,-0.8095238095238102,300.0,14,CDA,T1-T10
4,buy,300.0,1875,16.0,300.0,2,17.576470588235296,2,1,-1.5764705882352956,300.0,14,CDA,T1-T10
5,sell,387.0,2209,3.0,400.0,2,12.05,2,1,9.05,400.0,14,CDA,T1-T10
6,sell,400.0,1400,4.0,400.0,2,4.4,2,1,0.40000000000000036,400.0,14,CDA,T1-T10
7,sell,191.0,-974,14.0,400.0,2,11.882352941176471,2,1,-2.117647058823529,0.0,14,CDA,T1-T10
8,sell,40.0,284,11.0,300.0,2,10.581967213114755,2,1,-0.41803278688524514,300.0,14,CDA,T1-T10
1,buy,300.0,2600,17.0,300.0,2,7.388888888888889,3,1,9.61111111111111,300.0,14,CDA,T1-T10
2,buy,360.0,1575,14.0,400.0,2,8.027522935779816,3,1,5.972477064220184,200.0,14,CDA,T1-T10
3,buy,272.0,1904,17.0,300.0,2,10.936170212765957,3,1,6.063829787234043,300.0,14,CDA,T1-T10
4,buy,299.0,1590,16.0,300.0,2,16.35483870967742,3,1,-0.35483870967741993,300.0,14,CDA,T1-T10
5,sell,400.0,2644,3.0,400.0,2,10.0,3,1,7.0,400.0,14,CDA,T1-T10
6,sell,299.0,1603,4.0,400.0,2,12.379310344827585,3,1,8.379310344827585,400.0,14,CDA,T1-T10
7,sell,237.0,-1119,14.0,400.0,2,12.145454545454545,3,1,-1.8545454545454554,0.0,14,CDA,T1-T10
8,sell,295.0,-208,11.0,300.0,2,12.9,3,1,1.9000000000000004,300.0,14,CDA,T1-T10
1,buy,300.0,2400,17.0,300.0,2,8.5,4,1,8.5,300.0,14,CDA,T1-T10
2,buy,400.0,1448,14.0,400.0,2,7.863013698630137,4,1,6.136986301369863,200.0,14,CDA,T1-T10
3,buy,298.0,1932,17.0,300.0,2,13.348837209302326,4,1,3.651162790697674,300.0,14,CDA,T1-T10
4,buy,283.0,1799,16.0,300.0,2,17.022727272727273,4,1,-1.0227272727272734,300.0,14,CDA,T1-T10
5,sell,400.0,2618,3.0,400.0,2,9.642857142857142,4,1,6.642857142857142,400.0,14,CDA,T1-T10
6,sell,400.0,2356,4.0,400.0,2,11.371428571428572,4,1,7.371428571428572,400.0,14,CDA,T1-T10
7,sell,262.0,-1183,14.0,400.0,2,12.157894736842104,4,1,-1.8421052631578956,0.0,14,CDA,T1-T10
8,sell,219.0,47,11.0,300.0,2,11.50561797752809,4,1,0.5056179775280896,300.0,14,CDA,T1-T10
1,buy,251.0,498,6.0,400.0,2,4.0989010989010985,5,2,1.9010989010989015,0.0,6,CDA,T1-T10
2,buy,281.0,992,8.0,400.0,2,3.8764044943820224,5,2,4.123595505617978,400.0,6,CDA,T1-T10
3,buy,136.0,1289,17.0,400.0,2,15.26086956521739,5,2,1.7391304347826093,400.0,6,CDA,T1-T10
4,buy,400.0,2200,15.0,400.0,2,16.0,5,2,-1.0,400.0,6,CDA,T1-T10
5,sell,308.0,1324,5.0,400.0,2,8.478260869565217,5,2,3.478260869565217,400.0,6,CDA,T1-T10
6,sell,165.0,612,6.0,400.0,2,6.951724137931034,5,2,0.9517241379310342,200.0,6,CDA,T1-T10
7,sell,298.0,328,4.0,300.0,2,4.6415094339622645,5,2,0.6415094339622645,300.0,6,CDA,T1-T10
8,sell,297.0,210,3.0,300.0,2,6.357142857142857,5,2,3.3571428571428568,300.0,6,CDA,T1-T10
1,buy,0.0,0,6.0,400.0,2,4.504587155963303,6,2,1.4954128440366974,0.0,6,CDA,T1-T10
2,buy,200.0,400,8.0,400.0,2,4.654205607476635,6,2,3.3457943925233646,400.0,6,CDA,T1-T10
3,buy,400.0,3313,17.0,400.0,2,9.65,6,2,7.35,400.0,6,CDA,T1-T10
4,buy,400.0,3366,15.0,400.0,2,17.0,6,2,-2.0,400.0,6,CDA,T1-T10
5,sell,400.0,1200,5.0,400.0,2,9.243243243243244,6,2,4.243243243243244,400.0,6,CDA,T1-T10
6,sell,41.0,369,6.0,400.0,2,11.698795180722891,6,2,5.698795180722891,200.0,6,CDA,T1-T10
7,sell,287.0,632,4.0,300.0,2,7.0,6,2,3.0,300.0,6,CDA,T1-T10
8,sell,272.0,910,3.0,300.0,2,9.408163265306122,6,2,6.408163265306122,300.0,6,CDA,T1-T10
1,buy,6.0,6,6.0,400.0,2,4.554545454545455,7,2,1.4454545454545453,0.0,6,CDA,T1-T10
2,buy,160.0,392,8.0,400.0,2,4.446601941747573,7,2,3.5533980582524274,400.0,6,CDA,T1-T10
3,buy,276.0,2243,17.0,400.0,2,9.555555555555555,7,2,7.444444444444445,400.0,6,CDA,T1-T10
4,buy,400.0,2680,15.0,400.0,2,16.82758620689655,7,2,-1.8275862068965516,400.0,6,CDA,T1-T10
5,sell,394.0,1784,5.0,400.0,2,8.522222222222222,7,2,3.522222222222222,400.0,6,CDA,T1-T10
6,sell,112.0,252,6.0,400.0,2,9.261904761904763,7,2,3.2619047619047628,200.0,6,CDA,T1-T10
7,sell,36.0,72,4.0,300.0,2,7.176470588235294,7,2,3.1764705882352944,300.0,6,CDA,T1-T10
8,sell,300.0,893,3.0,300.0,2,6.28125,7,2,3.28125,300.0,6,CDA,T1-T10
1,buy,0.0,0,6.0,400.0,2,5.0,8,2,1.0,0.0,6,CDA,T1-T10
2,buy,275.0,550,8.0,400.0,2,5.204301075268817,8,2,2.795698924731183,400.0,6,CDA,T1-T10
3,buy,396.0,3452,17.0,400.0,2,9.303030303030303,8,2,7.696969696969697,400.0,6,CDA,T1-T10
4,buy,400.0,3098,15.0,400.0,2,7.255,8,2,7.745,400.0,6,CDA,T1-T10
5,sell,378.0,1066,5.0,400.0,2,8.638297872340425,8,2,3.6382978723404253,400.0,6,CDA,T1-T10
6,sell,200.0,600,6.0,400.0,2,9.7875,8,2,3.7874999999999996,200.0,6,CDA,T1-T10
7,sell,193.0,504,4.0,300.0,2,6.95945945945946,8,2,2.9594594594594597,300.0,6,CDA,T1-T10
8,sell,300.0,900,3.0,300.0,2,6.7407407407407405,8,2,3.7407407407407405,300.0,6,CDA,T1-T10
1,buy,300.0,2794,16.0,300.0,2,7.0,9,3,9.0,300.0,9,CDA,T1-T10
2,buy,400.0,3000,15.0,400.0,2,6.209302325581396,9,3,8.790697674418604,400.0,9,CDA,T1-T10
3,buy,242.0,550,10.0,400.0,2,8.06578947368421,9,3,1.9342105263157894,400.0,9,CDA,T1-T10
4,buy,399.0,2115,14.0,400.0,2,16.0,9,3,-2.0,400.0,9,CDA,T1-T10
5,sell,263.0,789,3.0,400.0,2,8.048192771084338,9,3,5.048192771084338,400.0,9,CDA,T1-T10
